,y,x,street_count,address,name,id,highway
69,41.2913875,-72.9595088,1,"Kaplan Hall, 300 Boston Post Rd, West Haven, CT 06516, USA",Kaplan Hall,3425967818,
70,41.2916975,-72.9621016,1,"300 Boston Post Rd, West Haven, CT 06516, USA",300 Boston Post Rd,3425967859,
71,41.291763,-72.9621055,1,"300 Boston Post Rd, West Haven, CT 06516, USA",300 Boston Post Rd,3425967868,
72,41.2892144,-72.9621999,4,"96 Ruden St, West Haven, CT 06516, USA",96 Ruden St,3437140567,
73,41.2894536,-72.9641082,3,"31 Ruden Pl, West Haven, CT 06516, USA",31 Ruden Pl,3437140574,
74,41.2895614,-72.9626581,3,"15 Ruden Pl, West Haven, CT 06516, USA",15 Ruden Pl,3437140577,
75,41.2896543,-72.962799,1,"19 Ruden Pl, West Haven, CT 06516, USA",19 Ruden Pl,3437140581,
76,41.2896665,-72.9608389,3,"46 Ruden St, West Haven, CT 06516, USA",46 Ruden St,3437140582,
77,41.2896902,-72.963754,3,"300 Boston Post Rd, West Haven, CT 06516, USA",300 Boston Post Rd,3437140583,
78,41.2896764,-72.962757,4,"19 Ruden Pl, West Haven, CT 06516, USA",19 Ruden Pl,3437140584,
79,41.2897194,-72.9626637,4,"19 Ruden Pl, West Haven, CT 06516, USA",19 Ruden Pl,3437140585,
80,41.2897607,-72.9608553,4,"Ruden Street Apartments Unit 21, 21 Ruden St, West Haven, CT 06516, USA",Ruden Street Apartments Unit 21,3437140588,
81,41.2898065,-72.9609737,4,"Ruden Street Apartments Unit 21, 21 Ruden St, West Haven, CT 06516, USA",Ruden Street Apartments Unit 21,3437140591,
82,41.2898227,-72.9609086,4,"Ruden Street Apartments Unit 21, 21 Ruden St, West Haven, CT 06516, USA",Ruden Street Apartments Unit 21,3437140593,
83,41.289879,-72.9627342,4,"19 Ruden Pl, West Haven, CT 06516, USA",19 Ruden Pl,3437140597,
84,41.2899094,-72.9591359,1,"Campbell Ave @ Ruden St, West Haven, CT 06516, USA",Campbell Ave @ Ruden St,3437140600,
85,41.2899459,-72.9625487,4,"Sheffield Hall, 300 Boston Post Rd, West Haven, CT 06516, USA",Sheffield Hall,3437140601,
86,41.2900411,-72.9622511,4,"Bixler Hall, 300 Boston Post Rd, West Haven, CT 06516, USA",Bixler Hall,3437140602,
87,41.2901006,-72.9629296,3,"33 Ruden Pl, West Haven, CT 06516, USA",33 Ruden Pl,3437140604,
88,41.290193,-72.9617793,4,"69 Ruden St APT 37, West Haven, CT 06516, USA",69 Ruden St APT 37,3437140605,
89,41.2902325,-72.9624987,4,"33 Ruden Pl, West Haven, CT 06516, USA",33 Ruden Pl,3437140606,
90,41.2903099,-72.9591282,1,"1136 Campbell Avenue, 1136 Campbell Ave, West Haven, CT 06516, USA",1136 Campbell Avenue,3437140610,
91,41.2902966,-72.9614688,4,"Joseph ""Chick"" Celentano Hall, 300 Boston Post Rd, West Haven, CT 06516, USA","Joseph ""Chick"" Celentano Hall",3437140611,
92,41.2903477,-72.96167,4,"Bixler Hall, 300 Boston Post Rd, West Haven, CT 06516, USA",Bixler Hall,3437140613,
93,41.2904084,-72.9622485,3,"300 Boston Post Rd, West Haven, CT 06516, USA",300 Boston Post Rd,3437140616,
94,41.2904444,-72.9650113,3,"446 Boston Post Rd, West Haven, CT 06516, USA",446 Boston Post Rd,3437140621,
95,41.2904965,-72.9628092,3,"33 Ruden Pl, West Haven, CT 06516, USA",33 Ruden Pl,3437140627,
96,41.2905534,-72.9645735,3,"446 Boston Post Rd, West Haven, CT 06516, USA",446 Boston Post Rd,3437140632,
97,41.2905865,-72.9619953,3,"Bartels Student Activity Center, 300 Boston Post Rd, West Haven, CT 06516, USA",Bartels Student Activity Center,3437140633,
98,41.290664,-72.9625608,3,"300 Boston Post Rd, West Haven, CT 06516, USA",300 Boston Post Rd,3437140636,
99,41.2906849,-72.9640269,3,"300 Boston Post Rd, West Haven, CT 06516, USA",300 Boston Post Rd,3437140637,
100,41.2907171,-72.9643474,3,"300 Boston Post Rd, West Haven, CT 06516, USA",300 Boston Post Rd,3437140638,
101,41.2907221,-72.9653354,3,"Orange Ave @ opp Hoffman St, West Haven, CT 06516, USA",Orange Ave @ opp Hoffman St,3437140640,
102,41.2907549,-72.9638261,3,"420 Boston Post Rd, West Haven, CT 06516, USA",420 Boston Post Rd,3437140641,
103,41.29077,-72.9650818,1,"300 Boston Post Rd, West Haven, CT 06516, USA",300 Boston Post Rd,3437140644,
104,41.2907862,-72.9611962,1,"300 Boston Post Rd, West Haven, CT 06516, USA",300 Boston Post Rd,3437140651,
105,41.2908456,-72.9623038,3,"Botwinik Hall, 300 Boston Post Rd, West Haven, CT 06516, USA",Botwinik Hall,3437140656,
106,41.2908461,-72.9641892,3,"424 Boston Post Rd, West Haven, CT 06516, USA",424 Boston Post Rd,3437140657,
107,41.2908484,-72.9630859,3,"300 Boston Post Rd, West Haven, CT 06516, USA",300 Boston Post Rd,3437140658,
108,41.2909003,-72.9634611,4,"72RP+9J West Haven, CT, USA",72RP+9J West Haven,3437140662,crossing
109,41.290905,-72.9622205,3,"Bartels Student Activity Center, 300 Boston Post Rd, West Haven, CT 06516, USA",Bartels Student Activity Center,3437140663,
110,41.2909187,-72.961233,5,"300 Boston Post Rd, West Haven, CT 06516, USA",300 Boston Post Rd,3437140664,
111,41.2909309,-72.9606752,4,"Buckman Hall, 300 Boston Post Rd, West Haven, CT 06516, USA",Buckman Hall,3437140665,
112,41.2909294,-72.9607464,4,"Buckman Hall, 300 Boston Post Rd, West Haven, CT 06516, USA",Buckman Hall,3437140666,
